ob,station,precip
2013-01-01 11:00:00,LAKE,0.762
2013-01-02 01:00:00,LAKE,1.016
2013-01-02 02:00:00,LAKE,1.27
2013-01-02 03:00:00,LAKE,2.032
2013-01-02 04:00:00,LAKE,2.032
2013-01-11 07:00:00,LAKE,1.016
2013-01-11 08:00:00,LAKE,2.794
2013-01-11 09:00:00,LAKE,0.762
2013-01-11 10:00:00,LAKE,1.778
2013-01-16 06:00:00,LAKE,1.27
2013-01-16 23:00:00,LAKE,0.762
2013-01-17 00:00:00,LAKE,1.524
2013-01-17 02:00:00,LAKE,1.016
2013-01-17 04:00:00,LAKE,0.762
2013-01-17 05:00:00,LAKE,0.762
2013-01-17 06:00:00,LAKE,3.048
2013-01-17 18:00:00,LAKE,0.762
2013-01-17 19:00:00,LAKE,1.524
2013-01-17 20:00:00,LAKE,2.286
2013-01-17 21:00:00,LAKE,4.318
2013-01-17 22:00:00,LAKE,2.286
2013-01-17 23:00:00,LAKE,1.27
2013-01-18 00:00:00,LAKE,1.27
2013-01-18 01:00:00,LAKE,1.524
2013-01-26 12:00:00,LAKE,3.81
2013-01-26 13:00:00,LAKE,3.556
2013-01-30 23:59:00,LAKE,1.016
2013-01-31 00:00:00,LAKE,1.524
2013-01-31 00:00:00,LAKE,1.524
2013-01-31 00:01:00,LAKE,1.524
2013-01-31 00:02:00,LAKE,0.762
2013-01-31 01:00:00,LAKE,6.096
2013-01-31 02:00:00,LAKE,2.286
2013-02-07 20:00:00,LAKE,0.762
2013-02-07 21:00:00,LAKE,0.762
2013-02-07 22:00:00,LAKE,2.032
2013-02-07 23:00:00,LAKE,1.524
2013-02-08 00:00:00,LAKE,2.286
2013-02-08 01:00:00,LAKE,3.81
2013-02-08 02:00:00,LAKE,4.318
2013-02-08 03:00:00,LAKE,3.302
2013-02-08 04:00:00,LAKE,1.778
2013-02-11 08:00:00,LAKE,1.016
2013-02-13 05:00:00,LAKE,1.016
2013-02-16 10:00:00,LAKE,0.762
2013-02-16 11:00:00,LAKE,1.524
2013-02-16 12:00:00,LAKE,0.762
2013-02-16 14:00:00,LAKE,2.286
2013-02-16 15:00:00,LAKE,1.524
2013-02-16 16:00:00,LAKE,0.762
2013-02-22 04:00:00,LAKE,2.032
2013-02-22 05:00:00,LAKE,1.27
2013-02-22 06:00:00,LAKE,0.762
2013-02-22 17:00:00,LAKE,0.762
2013-02-23 03:00:00,LAKE,2.032
2013-02-23 05:00:00,LAKE,4.064
2013-02-23 06:00:00,LAKE,1.778
2013-02-23 07:00:00,LAKE,1.016
2013-02-23 08:00:00,LAKE,2.286
2013-02-23 09:00:00,LAKE,2.286
