ob,station,precip
2008-01-17 08:00:00,LAKE,1.016
2008-01-17 09:00:00,LAKE,0.762
2008-01-17 10:00:00,LAKE,1.016
2008-01-17 11:00:00,LAKE,1.524
2008-01-17 12:00:00,LAKE,1.778
2008-01-17 13:00:00,LAKE,1.016
2008-01-17 14:00:00,LAKE,1.016
2008-01-17 15:00:00,LAKE,1.524
2008-01-19 09:00:00,LAKE,1.016
2008-01-19 10:00:00,LAKE,0.762
2008-01-19 15:00:00,LAKE,1.016
2008-01-19 16:00:00,LAKE,2.032
2008-01-30 03:00:00,LAKE,0.762
2008-01-30 04:00:00,LAKE,1.27
2008-02-01 04:00:00,LAKE,4.826
2008-02-01 08:00:00,LAKE,1.016
2008-02-01 09:00:00,LAKE,1.016
2008-02-01 12:00:00,LAKE,1.524
2008-02-01 13:00:00,LAKE,1.778
2008-02-01 14:00:00,LAKE,0.762
2008-02-13 00:35:00,LAKE,0.762
2008-02-13 01:00:00,LAKE,4.318
2008-02-13 02:00:00,LAKE,1.778
2008-02-13 03:00:00,LAKE,1.524
2008-02-13 05:00:00,LAKE,1.524
2008-02-13 13:16:00,LAKE,0.762
2008-02-13 14:00:00,LAKE,4.318
2008-02-13 15:00:00,LAKE,2.032
2008-02-13 16:00:00,LAKE,0.762
2008-02-18 02:00:00,LAKE,1.778
2008-02-18 03:00:00,LAKE,4.572
2008-02-18 04:00:00,LAKE,2.794
2008-02-22 07:00:00,LAKE,0.762
2008-02-22 09:00:00,LAKE,0.762
2008-02-26 12:00:00,LAKE,5.08
2008-02-26 13:00:00,LAKE,1.016
2008-02-26 21:00:00,LAKE,5.842
2008-02-26 22:00:00,LAKE,4.318
2008-03-04 14:22:00,LAKE,1.016
2008-03-04 15:00:00,LAKE,3.302
2008-03-04 20:00:00,LAKE,0.762
2008-03-04 23:00:00,LAKE,2.54
2008-03-04 23:18:00,LAKE,1.27
2008-03-04 23:19:00,LAKE,1.016
2008-03-05 00:00:00,LAKE,6.858
2008-03-07 11:00:00,LAKE,3.048
2008-03-07 12:00:00,LAKE,1.016
2008-03-07 13:00:00,LAKE,2.54
2008-03-07 14:00:00,LAKE,1.778
2008-03-07 15:00:00,LAKE,3.302
2008-03-07 16:00:00,LAKE,7.62
2008-03-07 16:46:00,LAKE,0.762
2008-03-07 16:47:00,LAKE,0.762
2008-03-07 17:00:00,LAKE,5.334
2008-03-07 20:00:00,LAKE,0.762
2008-03-15 17:00:00,LAKE,1.524
2008-03-15 18:00:00,LAKE,8.128
2008-03-15 19:00:00,LAKE,6.604
2008-03-15 20:00:00,LAKE,1.27
2008-03-19 20:00:00,LAKE,4.318
2008-03-30 13:00:00,LAKE,0.762
2008-03-30 15:00:00,LAKE,1.524
2008-03-30 16:00:00,LAKE,1.27
2008-03-30 22:00:00,LAKE,0.762
2008-03-31 01:00:00,LAKE,0.762
2008-03-31 02:00:00,LAKE,1.778
2008-03-31 03:00:00,LAKE,1.27
2008-03-31 08:00:00,LAKE,1.016
2008-03-31 11:00:00,LAKE,2.032
2008-03-31 12:00:00,LAKE,1.524
2008-03-31 14:00:00,LAKE,1.778
2008-03-31 15:00:00,LAKE,1.524
2008-03-31 16:00:00,LAKE,2.54
2008-03-31 18:00:00,LAKE,1.524
2008-03-31 19:00:00,LAKE,1.27
2008-03-31 20:00:00,LAKE,0.762
2008-04-03 19:00:00,LAKE,1.27
2008-04-03 20:00:00,LAKE,2.54
2008-04-03 21:00:00,LAKE,1.016
2008-04-03 22:00:00,LAKE,1.524
2008-04-04 22:30:00,LAKE,1.27
2008-04-04 22:31:00,LAKE,1.778
2008-04-04 23:00:00,LAKE,5.334
2008-04-04 23:04:00,LAKE,0.762
2008-04-04 23:05:00,LAKE,1.27
2008-04-04 23:06:00,LAKE,1.524
2008-04-04 23:07:00,LAKE,1.524
2008-04-04 23:08:00,LAKE,1.27
2008-04-04 23:09:00,LAKE,0.762
2008-04-04 23:10:00,LAKE,0.762
2008-04-05 00:00:00,LAKE,12.446
2008-04-05 02:00:00,LAKE,2.794
2008-04-05 03:00:00,LAKE,2.794
2008-04-05 14:00:00,LAKE,1.778
2008-04-06 04:00:00,LAKE,0.762
2008-04-12 12:59:00,LAKE,0.762
2008-04-12 13:00:00,LAKE,1.524
2008-04-12 14:00:00,LAKE,1.524
2008-04-20 01:00:00,LAKE,1.524
2008-04-20 02:00:00,LAKE,2.54
2008-04-20 04:00:00,LAKE,1.016
2008-04-20 17:00:00,LAKE,0.762
2008-04-20 19:00:00,LAKE,0.762
2008-04-21 17:00:00,LAKE,2.286
2008-04-22 17:00:00,LAKE,0.762
2008-04-27 18:00:00,LAKE,5.334
2008-04-27 20:17:00,LAKE,0.762
2008-04-27 20:18:00,LAKE,0.762
2008-04-27 20:19:00,LAKE,1.016
2008-04-27 20:20:00,LAKE,1.016
2008-04-27 20:21:00,LAKE,1.016
2008-04-27 20:37:00,LAKE,0.762
2008-04-27 20:38:00,LAKE,1.016
2008-04-27 20:39:00,LAKE,0.762
2008-04-27 20:40:00,LAKE,0.762
2008-04-27 20:41:00,LAKE,0.762
2008-04-27 21:00:00,LAKE,12.7
2008-04-27 22:00:00,LAKE,0.762
2008-04-28 08:00:00,LAKE,4.318
2008-04-28 09:00:00,LAKE,1.524
2008-04-28 14:00:00,LAKE,10.16
2008-04-28 15:00:00,LAKE,4.064
2008-04-28 19:00:00,LAKE,4.572
2008-05-08 11:00:00,LAKE,1.27
2008-05-09 05:00:00,LAKE,2.286
2008-05-09 23:44:00,LAKE,2.54
2008-05-09 23:45:00,LAKE,2.286
2008-05-09 23:46:00,LAKE,1.016
2008-05-09 23:47:00,LAKE,1.27
2008-05-09 23:48:00,LAKE,0.762
2008-05-10 00:00:00,LAKE,8.636
2008-05-11 10:00:00,LAKE,2.032
2008-05-11 17:00:00,LAKE,3.556
2008-05-11 21:00:00,LAKE,5.08
2008-05-11 22:00:00,LAKE,3.048
2008-05-15 20:00:00,LAKE,1.016
2008-05-15 21:00:00,LAKE,1.016
2008-05-15 22:00:00,LAKE,1.27
2008-05-16 05:00:00,LAKE,1.016
2008-05-16 17:11:00,LAKE,0.762
2008-05-16 18:00:00,LAKE,5.842
2008-05-18 17:00:00,LAKE,0.762
2008-05-18 18:00:00,LAKE,7.112
2008-05-18 19:00:00,LAKE,1.524
2008-05-20 17:00:00,LAKE,2.54
2008-05-20 17:07:00,LAKE,0.762
2008-05-20 18:00:00,LAKE,4.826
2008-05-28 02:00:00,LAKE,1.524
2008-05-28 03:00:00,LAKE,1.524
2008-05-28 13:00:00,LAKE,5.842
2008-05-28 14:00:00,LAKE,2.032
2008-05-28 17:00:00,LAKE,0.762
2008-06-14 17:00:00,LAKE,0.762
2008-06-14 17:04:00,LAKE,0.762
2008-06-14 17:06:00,LAKE,0.762
2008-06-14 17:07:00,LAKE,0.762
2008-06-14 18:00:00,LAKE,6.35
2008-06-14 19:56:00,LAKE,0.762
2008-06-14 19:58:00,LAKE,0.762
2008-06-14 20:00:00,LAKE,2.794
2008-06-15 03:00:00,LAKE,3.556
