ob,station,precip
2006-01-02 15:00:00,LAKE,2.286
2006-01-02 16:00:00,LAKE,2.794
2006-01-02 16:45:00,LAKE,0.762
2006-01-02 17:00:00,LAKE,2.794
2006-01-03 00:00:00,LAKE,0.762
2006-01-03 00:15:00,LAKE,0.762
2006-01-03 00:30:00,LAKE,1.27
2006-01-03 01:00:00,LAKE,4.318
2006-01-06 03:00:00,LAKE,1.016
2006-01-11 16:45:00,LAKE,1.27
2006-01-11 17:00:00,LAKE,4.064
2006-01-13 23:12:00,LAKE,1.016
2006-01-13 23:15:00,LAKE,2.54
2006-01-13 23:40:00,LAKE,1.016
2006-01-13 23:45:00,LAKE,2.794
2006-01-13 23:59:00,LAKE,8.636
2006-01-14 00:00:00,LAKE,13.97
2006-01-14 00:15:00,LAKE,1.27
2006-01-14 01:00:00,LAKE,3.556
2006-01-18 00:59:00,LAKE,0.762
2006-01-18 01:00:00,LAKE,0.762
2006-01-18 01:15:00,LAKE,0.762
2006-01-18 02:00:00,LAKE,2.032
2006-01-18 03:00:00,LAKE,0.762
2006-01-18 04:00:00,LAKE,1.27
2006-01-18 05:00:00,LAKE,2.54
2006-01-18 06:00:00,LAKE,2.54
2006-01-18 06:15:00,LAKE,1.27
2006-01-18 06:30:00,LAKE,1.27
2006-01-18 06:45:00,LAKE,0.762
2006-01-18 07:00:00,LAKE,7.112
2006-01-21 13:00:00,LAKE,3.302
2006-01-21 14:00:00,LAKE,2.286
2006-01-21 14:15:00,LAKE,1.016
2006-01-21 15:00:00,LAKE,2.794
2006-01-21 16:00:00,LAKE,1.016
2006-01-23 00:00:00,LAKE,1.27
2006-01-23 20:00:00,LAKE,1.016
2006-01-31 04:00:00,LAKE,0.762
2006-01-31 05:00:00,LAKE,2.54
2006-01-31 05:15:00,LAKE,0.762
2006-01-31 06:00:00,LAKE,2.54
2006-01-31 07:00:00,LAKE,1.524
2006-01-31 08:00:00,LAKE,1.016
2006-02-02 23:00:00,LAKE,1.016
2006-02-03 03:00:00,LAKE,0.762
2006-02-04 08:00:00,LAKE,2.54
2006-02-04 08:10:00,LAKE,0.762
2006-02-04 08:15:00,LAKE,1.524
2006-02-04 09:00:00,LAKE,4.826
2006-02-04 09:15:00,LAKE,3.048
2006-02-04 09:30:00,LAKE,1.778
2006-02-04 09:45:00,LAKE,1.27
2006-02-04 10:00:00,LAKE,11.938
2006-02-04 13:00:00,LAKE,2.286
2006-02-04 17:00:00,LAKE,1.016
2006-02-11 09:00:00,LAKE,1.016
2006-02-11 10:00:00,LAKE,0.762
2006-02-11 11:00:00,LAKE,0.762
2006-02-11 12:00:00,LAKE,1.27
2006-02-11 13:00:00,LAKE,1.778
2006-02-11 14:00:00,LAKE,1.016
2006-02-11 15:00:00,LAKE,1.524
2006-02-11 15:15:00,LAKE,0.762
2006-02-11 16:00:00,LAKE,3.556
2006-02-11 17:00:00,LAKE,2.032
2006-02-11 18:00:00,LAKE,0.762
2006-02-22 09:00:00,LAKE,1.778
2006-02-22 10:00:00,LAKE,1.27
2006-02-22 11:00:00,LAKE,1.27
2006-02-22 23:00:00,LAKE,3.048
2006-02-22 23:45:00,LAKE,1.016
2006-02-22 23:59:00,LAKE,2.54
2006-02-23 00:00:00,LAKE,6.604
2006-02-23 00:15:00,LAKE,0.762
2006-02-23 01:00:00,LAKE,3.302
2006-02-23 04:00:00,LAKE,2.032
2006-02-23 08:15:00,LAKE,0.762
2006-02-23 09:00:00,LAKE,2.794
2006-03-06 11:00:00,LAKE,1.27
2006-03-14 09:15:00,LAKE,1.778
2006-03-14 10:00:00,LAKE,3.556
2006-03-20 18:00:00,LAKE,1.016
2006-03-20 19:00:00,LAKE,2.286
2006-03-20 20:00:00,LAKE,2.032
2006-03-20 21:00:00,LAKE,2.032
2006-03-20 22:00:00,LAKE,3.302
2006-03-20 22:15:00,LAKE,0.762
2006-03-20 22:45:00,LAKE,0.762
2006-03-20 23:00:00,LAKE,4.826
2006-03-20 23:15:00,LAKE,0.762
2006-03-20 23:59:00,LAKE,1.524
2006-03-21 00:00:00,LAKE,4.318
2006-03-21 01:00:00,LAKE,1.778
2006-03-21 02:00:00,LAKE,1.016
2006-03-21 02:15:00,LAKE,0.762
2006-03-21 02:30:00,LAKE,0.762
2006-03-21 03:00:00,LAKE,5.334
2006-03-21 03:15:00,LAKE,0.762
2006-03-21 03:30:00,LAKE,1.016
2006-03-21 04:00:00,LAKE,3.81
2006-03-21 05:00:00,LAKE,1.016
2006-03-21 10:00:00,LAKE,0.762
2006-03-21 11:00:00,LAKE,3.556
