ob,station,precip
2012-01-01 21:00:00,LAKE,5.334
2012-01-09 07:00:00,LAKE,0.762
2012-01-11 13:00:00,LAKE,2.032
2012-01-11 14:00:00,LAKE,2.286
2012-01-11 15:00:00,LAKE,1.524
2012-01-11 17:00:00,LAKE,1.016
2012-01-11 19:00:00,LAKE,1.524
2012-01-11 20:00:00,LAKE,1.016
2012-01-17 23:00:00,LAKE,2.286
2012-01-18 00:00:00,LAKE,1.778
2012-01-18 04:00:00,LAKE,1.27
2012-01-18 07:00:00,LAKE,0.762
2012-01-20 19:00:00,LAKE,0.762
2012-01-20 20:00:00,LAKE,1.524
2012-01-21 00:00:00,LAKE,1.016
2012-01-21 01:00:00,LAKE,2.286
2012-01-21 02:00:00,LAKE,1.778
2012-01-21 08:00:00,LAKE,3.048
2012-01-21 17:00:00,LAKE,1.524
2012-01-21 18:00:00,LAKE,1.524
2012-01-21 19:00:00,LAKE,2.286
2012-01-21 20:00:00,LAKE,0.762
2012-01-27 07:00:00,LAKE,3.048
2012-01-27 08:00:00,LAKE,3.81
2012-02-04 23:00:00,LAKE,5.08
2012-02-05 00:00:00,LAKE,0.762
2012-02-05 04:00:00,LAKE,1.016
2012-02-05 05:00:00,LAKE,1.524
2012-02-05 06:00:00,LAKE,1.524
2012-02-16 14:00:00,LAKE,1.016
2012-02-16 16:00:00,LAKE,4.318
2012-02-16 17:00:00,LAKE,2.794
2012-02-16 18:00:00,LAKE,2.286
2012-02-19 11:00:00,LAKE,0.762
2012-02-19 14:00:00,LAKE,1.016
2012-02-19 16:00:00,LAKE,2.286
2012-02-19 17:00:00,LAKE,5.334
2012-02-19 21:00:00,LAKE,2.032
2012-02-20 01:00:00,LAKE,1.524
2012-02-20 02:00:00,LAKE,0.762
2012-02-23 02:00:00,LAKE,2.54
2012-02-24 17:50:00,LAKE,1.524
2012-02-24 18:00:00,LAKE,2.794
2012-02-24 19:00:00,LAKE,1.27
2012-02-27 13:00:00,LAKE,0.762
2012-02-27 15:00:00,LAKE,1.016
2012-03-03 03:06:00,LAKE,1.016
2012-03-03 04:00:00,LAKE,3.556
2012-03-03 05:00:00,LAKE,2.794
2012-03-03 05:04:00,LAKE,0.762
2012-03-03 06:00:00,LAKE,7.112
2012-03-03 07:00:00,LAKE,3.556
2012-03-03 08:00:00,LAKE,1.27
2012-03-04 01:00:00,LAKE,0.762
2012-03-04 03:00:00,LAKE,0.762
2012-03-04 04:00:00,LAKE,2.032
2012-03-04 05:00:00,LAKE,2.032
2012-03-09 06:00:00,LAKE,1.778
2012-03-09 07:00:00,LAKE,1.27
2012-03-16 23:00:00,LAKE,1.778
2012-03-17 00:00:00,LAKE,1.016
2012-03-18 01:00:00,LAKE,0.762
2012-03-18 02:00:00,LAKE,4.064
2012-03-18 03:00:00,LAKE,0.762
2012-03-19 11:00:00,LAKE,3.81
2012-03-20 05:00:00,LAKE,1.524
2012-03-20 06:00:00,LAKE,2.794
2012-03-20 11:00:00,LAKE,0.762
2012-03-20 22:56:00,LAKE,0.762
2012-03-20 22:57:00,LAKE,1.016
2012-03-20 22:58:00,LAKE,1.016
2012-03-20 23:00:00,LAKE,7.62
2012-03-20 23:00:00,LAKE,1.016
2012-03-20 23:01:00,LAKE,0.762
2012-03-21 00:00:00,LAKE,7.874
2012-03-21 01:00:00,LAKE,1.778
2012-03-21 02:00:00,LAKE,0.762
2012-03-24 00:00:00,LAKE,1.016
2012-03-24 00:05:00,LAKE,0.762
2012-03-24 00:06:00,LAKE,1.27
2012-03-24 00:07:00,LAKE,1.016
2012-03-24 00:08:00,LAKE,1.27
2012-03-24 00:09:00,LAKE,1.27
2012-03-24 00:10:00,LAKE,1.016
2012-03-24 01:00:00,LAKE,8.89
2012-03-24 02:00:00,LAKE,1.524
2012-03-24 08:00:00,LAKE,1.016
2012-03-24 10:59:00,LAKE,0.762
2012-03-24 11:00:00,LAKE,2.54
2012-03-24 11:24:00,LAKE,0.762
2012-03-24 12:00:00,LAKE,3.556
2012-03-24 13:00:00,LAKE,1.524
2012-03-26 00:00:00,LAKE,1.016
2012-03-31 00:00:00,LAKE,1.27
2012-03-31 08:00:00,LAKE,1.016
2012-03-31 23:09:00,LAKE,2.032
2012-03-31 23:10:00,LAKE,2.032
2012-03-31 23:11:00,LAKE,1.524
2012-03-31 23:12:00,LAKE,1.524
2012-03-31 23:13:00,LAKE,1.27
2012-03-31 23:14:00,LAKE,0.762
2012-03-31 23:15:00,LAKE,0.762
2012-04-01 00:00:00,LAKE,12.192
2012-04-04 17:00:00,LAKE,1.016
2012-04-04 21:17:00,LAKE,0.762
2012-04-04 21:19:00,LAKE,0.762
2012-04-04 22:00:00,LAKE,7.366
2012-04-05 22:00:00,LAKE,1.016
2012-04-05 23:00:00,LAKE,1.27
2012-04-06 01:00:00,LAKE,0.762
2012-04-21 14:00:00,LAKE,1.016
2012-04-22 04:00:00,LAKE,1.778
2012-04-22 05:00:00,LAKE,6.604
2012-04-22 06:00:00,LAKE,4.318
2012-04-22 07:00:00,LAKE,1.778
2012-04-22 08:00:00,LAKE,0.762
2012-04-22 20:00:00,LAKE,0.762
2012-04-22 21:00:00,LAKE,1.016
2012-04-26 03:00:00,LAKE,0.762
2012-04-26 12:00:00,LAKE,2.794
2012-05-05 16:29:00,LAKE,0.762
2012-05-05 16:30:00,LAKE,0.762
2012-05-05 17:00:00,LAKE,11.176
2012-05-05 17:03:00,LAKE,0.762
2012-05-05 17:04:00,LAKE,1.016
2012-05-05 17:05:00,LAKE,1.27
2012-05-05 17:06:00,LAKE,1.27
2012-05-05 17:07:00,LAKE,1.27
2012-05-05 17:08:00,LAKE,1.27
2012-05-05 17:09:00,LAKE,0.762
2012-05-05 18:00:00,LAKE,13.97
2012-05-05 21:49:00,LAKE,0.762
2012-05-05 22:00:00,LAKE,4.826
2012-05-05 23:00:00,LAKE,2.286
2012-05-09 15:27:00,LAKE,0.762
2012-05-09 15:28:00,LAKE,1.016
2012-05-09 15:29:00,LAKE,0.762
2012-05-09 15:30:00,LAKE,1.016
2012-05-09 15:33:00,LAKE,0.762
2012-05-09 15:39:00,LAKE,0.762
2012-05-09 15:40:00,LAKE,1.016
2012-05-09 15:41:00,LAKE,0.762
2012-05-09 15:42:00,LAKE,0.762
2012-05-09 15:43:00,LAKE,0.762
2012-05-09 15:44:00,LAKE,0.762
2012-05-09 16:00:00,LAKE,15.24
2012-05-09 17:00:00,LAKE,2.54
2012-05-13 23:00:00,LAKE,0.762
2012-05-14 00:00:00,LAKE,1.016
2012-05-14 15:00:00,LAKE,3.556
2012-05-14 16:00:00,LAKE,1.27
2012-05-15 01:00:00,LAKE,5.08
2012-05-15 02:00:00,LAKE,1.27
2012-05-15 03:00:00,LAKE,1.016
2012-05-15 05:00:00,LAKE,0.762
2012-05-15 06:00:00,LAKE,1.016
2012-05-17 15:17:00,LAKE,0.762
2012-05-17 15:18:00,LAKE,0.762
2012-05-17 15:19:00,LAKE,1.27
2012-05-17 15:20:00,LAKE,1.27
2012-05-17 15:21:00,LAKE,2.032
2012-05-17 15:22:00,LAKE,1.778
2012-05-17 15:23:00,LAKE,1.016
2012-05-17 16:00:00,LAKE,12.446
2012-05-23 16:00:00,LAKE,2.032
2012-05-27 16:47:00,LAKE,0.762
2012-05-27 16:49:00,LAKE,1.016
2012-05-27 16:51:00,LAKE,0.762
2012-05-27 17:00:00,LAKE,5.08
2012-05-30 06:00:00,LAKE,2.032
2012-05-30 07:00:00,LAKE,1.778
2012-05-30 08:00:00,LAKE,2.54
2012-05-30 09:00:00,LAKE,2.54
2012-05-30 10:00:00,LAKE,2.54
2012-05-30 11:00:00,LAKE,2.54
2012-06-01 16:48:00,LAKE,1.016
2012-06-01 16:49:00,LAKE,1.778
2012-06-01 16:50:00,LAKE,1.524
2012-06-01 17:00:00,LAKE,5.842
2012-06-01 17:00:00,LAKE,0.762
2012-06-01 18:00:00,LAKE,2.286
2012-06-01 21:54:00,LAKE,0.762
2012-06-01 21:55:00,LAKE,1.016
2012-06-01 21:56:00,LAKE,0.762
2012-06-01 21:57:00,LAKE,0.762
2012-06-01 22:00:00,LAKE,5.842
2012-06-01 22:02:00,LAKE,1.27
2012-06-01 22:03:00,LAKE,1.016
2012-06-01 22:04:00,LAKE,0.762
2012-06-01 23:00:00,LAKE,6.604
2012-06-06 09:00:00,LAKE,0.762
2012-06-11 17:13:00,LAKE,0.762
2012-06-11 17:14:00,LAKE,1.524
2012-06-11 17:15:00,LAKE,1.016
2012-06-11 17:20:00,LAKE,1.27
2012-06-11 17:21:00,LAKE,1.27
2012-06-11 18:00:00,LAKE,10.414
2012-06-11 19:00:00,LAKE,3.556
