ob,station,precip
2014-01-02 17:00:00,LAKE,1.016
2014-01-02 18:00:00,LAKE,1.778
2014-01-02 19:00:00,LAKE,1.778
2014-01-02 20:00:00,LAKE,0.762
2014-01-02 21:00:00,LAKE,1.27
2014-01-06 10:00:00,LAKE,1.016
2014-01-10 10:00:00,LAKE,0.762
2014-01-10 11:00:00,LAKE,0.762
2014-01-10 12:00:00,LAKE,0.762
2014-01-10 15:00:00,LAKE,1.27
2014-01-10 16:00:00,LAKE,0.762
2014-01-10 17:00:00,LAKE,3.048
2014-01-10 18:00:00,LAKE,2.794
2014-01-10 19:00:00,LAKE,2.286
2014-01-10 21:00:00,LAKE,1.524
2014-01-10 22:00:00,LAKE,2.286
2014-01-10 22:10:00,LAKE,1.27
2014-01-10 23:00:00,LAKE,8.128
2014-01-11 00:00:00,LAKE,1.016
2014-01-11 01:00:00,LAKE,1.778
2014-01-11 14:00:00,LAKE,0.762
2014-01-11 16:00:00,LAKE,1.016
2014-01-11 18:00:00,LAKE,0.762
2014-01-14 03:00:00,LAKE,1.27
2014-01-14 12:00:00,LAKE,1.27
2014-01-14 13:00:00,LAKE,2.032
2014-01-14 14:00:00,LAKE,1.016
2014-01-29 14:00:00,LAKE,2.032
2014-01-29 15:00:00,LAKE,1.27
2014-01-30 12:00:00,LAKE,1.778
2014-02-03 10:00:00,LAKE,1.016
2014-02-03 10:28:00,LAKE,0.762
2014-02-03 11:00:00,LAKE,4.318
2014-02-04 17:00:00,LAKE,1.27
2014-02-04 18:00:00,LAKE,4.318
2014-02-04 19:00:00,LAKE,3.556
2014-02-04 20:00:00,LAKE,1.27
2014-02-10 18:00:00,LAKE,0.762
2014-02-13 09:00:00,LAKE,1.016
2014-02-13 09:18:00,LAKE,0.762
2014-02-13 09:20:00,LAKE,0.762
2014-02-13 09:21:00,LAKE,0.762
2014-02-13 10:00:00,LAKE,7.62
2014-02-13 11:00:00,LAKE,2.54
2014-02-13 12:00:00,LAKE,2.54
2014-02-13 13:00:00,LAKE,2.032
2014-02-13 14:00:00,LAKE,2.794
2014-02-13 15:00:00,LAKE,2.54
2014-02-13 16:00:00,LAKE,2.286
2014-02-13 17:00:00,LAKE,1.016
2014-02-15 07:00:00,LAKE,1.016
2014-02-15 08:00:00,LAKE,1.27
2014-02-15 09:00:00,LAKE,2.54
2014-02-15 10:00:00,LAKE,1.524
2014-02-15 11:00:00,LAKE,0.762
2014-02-19 05:00:00,LAKE,1.016
2014-02-19 06:00:00,LAKE,7.366
2014-02-19 07:00:00,LAKE,3.048
2014-02-21 11:50:00,LAKE,1.016
2014-02-21 12:00:00,LAKE,7.366
2014-02-21 12:01:00,LAKE,0.762
2014-02-21 12:02:00,LAKE,0.762
2014-02-21 12:05:00,LAKE,0.762
2014-02-21 13:00:00,LAKE,7.366
2014-03-03 11:00:00,LAKE,3.048
2014-03-03 12:00:00,LAKE,2.032
2014-03-03 14:00:00,LAKE,1.016
2014-03-04 12:00:00,LAKE,2.032
2014-03-06 17:00:00,LAKE,0.762
2014-03-06 18:00:00,LAKE,1.524
2014-03-06 19:00:00,LAKE,1.27
2014-03-06 20:00:00,LAKE,1.27
2014-03-06 21:00:00,LAKE,2.794
2014-03-06 22:00:00,LAKE,3.556
2014-03-06 23:00:00,LAKE,3.048
2014-03-07 00:00:00,LAKE,3.302
2014-03-07 01:00:00,LAKE,2.032
2014-03-07 02:00:00,LAKE,3.048
2014-03-07 03:00:00,LAKE,4.064
2014-03-07 04:00:00,LAKE,3.302
2014-03-07 05:00:00,LAKE,2.286
2014-03-07 06:00:00,LAKE,2.54
2014-03-07 07:00:00,LAKE,1.524
2014-03-07 11:00:00,LAKE,2.286
2014-03-07 12:00:00,LAKE,1.778
2014-03-07 13:00:00,LAKE,3.556
2014-03-07 14:00:00,LAKE,3.556
2014-03-07 15:00:00,LAKE,3.81
2014-03-07 16:00:00,LAKE,2.286
2014-03-07 17:00:00,LAKE,2.794
2014-03-07 18:00:00,LAKE,1.778
2014-03-12 18:05:00,LAKE,1.778
2014-03-12 18:06:00,LAKE,1.27
2014-03-12 18:07:00,LAKE,0.762
2014-03-12 19:00:00,LAKE,9.144
2014-03-16 23:00:00,LAKE,0.762
2014-03-17 00:00:00,LAKE,1.016
2014-03-17 17:00:00,LAKE,1.778
2014-03-17 19:00:00,LAKE,0.762
2014-03-17 23:00:00,LAKE,0.762
2014-03-18 00:00:00,LAKE,0.762
2014-03-18 11:00:00,LAKE,3.556
2014-03-19 09:00:00,LAKE,1.016
2014-03-19 10:00:00,LAKE,1.778
2014-03-23 14:00:00,LAKE,1.524
2014-03-25 18:00:00,LAKE,0.762
2014-03-28 19:00:00,LAKE,1.524
2014-03-28 22:00:00,LAKE,1.27
2014-03-29 00:00:00,LAKE,1.27
2014-03-29 01:00:00,LAKE,3.556
2014-03-29 02:00:00,LAKE,2.032
2014-03-29 03:00:00,LAKE,1.524
2014-03-29 05:00:00,LAKE,1.27
2014-03-29 06:00:00,LAKE,2.794
2014-03-29 07:00:00,LAKE,2.286
2014-03-29 08:00:00,LAKE,1.524
2014-03-29 20:00:00,LAKE,4.572
2014-03-29 20:07:00,LAKE,0.762
2014-03-29 20:08:00,LAKE,1.27
2014-03-29 20:09:00,LAKE,1.016
2014-03-29 21:00:00,LAKE,6.096
2014-03-30 01:00:00,LAKE,1.016
2014-04-07 03:00:00,LAKE,0.762
2014-04-07 06:00:00,LAKE,2.286
2014-04-07 07:00:00,LAKE,2.286
2014-04-07 08:00:00,LAKE,2.032
2014-04-07 09:00:00,LAKE,3.048
2014-04-07 10:00:00,LAKE,1.778
2014-04-07 10:28:00,LAKE,1.27
2014-04-07 10:30:00,LAKE,0.762
2014-04-07 11:00:00,LAKE,8.382
2014-04-07 12:00:00,LAKE,2.286
2014-04-15 05:00:00,LAKE,1.27
2014-04-15 05:45:00,LAKE,0.762
2014-04-15 05:46:00,LAKE,1.27
2014-04-15 05:47:00,LAKE,0.762
2014-04-15 05:48:00,LAKE,1.016
2014-04-15 05:51:00,LAKE,1.016
2014-04-15 05:52:00,LAKE,1.016
2014-04-15 06:00:00,LAKE,14.732
2014-04-15 07:00:00,LAKE,3.048
2014-04-15 15:00:00,LAKE,1.524
2014-04-15 16:00:00,LAKE,0.762
2014-04-15 16:38:00,LAKE,0.762
2014-04-15 16:39:00,LAKE,0.762
2014-04-15 16:40:00,LAKE,1.016
2014-04-15 16:41:00,LAKE,1.016
2014-04-15 17:00:00,LAKE,5.08
2014-04-15 18:00:00,LAKE,3.81
2014-04-15 19:00:00,LAKE,6.604
2014-04-15 20:00:00,LAKE,1.778
2014-04-18 22:00:00,LAKE,0.762
2014-04-18 23:00:00,LAKE,1.27
2014-04-19 02:00:00,LAKE,0.762
2014-04-19 03:00:00,LAKE,1.27
2014-04-19 04:00:00,LAKE,1.27
2014-04-19 05:00:00,LAKE,2.032
2014-04-19 06:00:00,LAKE,2.286
2014-04-19 07:00:00,LAKE,2.286
2014-04-19 08:00:00,LAKE,1.524
2014-04-19 09:00:00,LAKE,1.016
2014-04-19 12:00:00,LAKE,1.016
2014-04-25 16:21:00,LAKE,0.762
2014-04-25 16:24:00,LAKE,0.762
2014-04-25 16:48:00,LAKE,1.524
2014-04-25 17:00:00,LAKE,5.588
2014-04-25 18:00:00,LAKE,2.794
2014-04-29 19:45:00,LAKE,1.016
2014-04-29 19:46:00,LAKE,0.762
2014-04-29 19:48:00,LAKE,1.27
2014-04-29 19:49:00,LAKE,0.762
2014-04-29 19:50:00,LAKE,0.762
2014-04-29 19:51:00,LAKE,0.762
2014-04-29 19:52:00,LAKE,0.762
2014-04-29 20:00:00,LAKE,7.874
2014-04-30 11:00:00,LAKE,1.016
2014-04-30 12:00:00,LAKE,1.524
2014-04-30 12:16:00,LAKE,0.762
2014-04-30 12:17:00,LAKE,1.016
2014-04-30 12:19:00,LAKE,0.762
2014-04-30 12:26:00,LAKE,1.524
2014-04-30 12:27:00,LAKE,1.016
2014-04-30 12:34:00,LAKE,1.016
2014-04-30 13:00:00,LAKE,15.748
2014-05-15 12:00:00,LAKE,1.27
2014-05-15 12:34:00,LAKE,0.762
2014-05-15 12:35:00,LAKE,1.016
2014-05-15 12:36:00,LAKE,0.762
2014-05-15 12:37:00,LAKE,1.016
2014-05-15 12:39:00,LAKE,1.016
2014-05-15 12:40:00,LAKE,1.016
2014-05-15 12:43:00,LAKE,1.016
2014-05-15 12:44:00,LAKE,1.27
2014-05-15 12:45:00,LAKE,0.762
2014-05-15 13:00:00,LAKE,18.034
2014-05-15 13:00:00,LAKE,1.016
2014-05-15 13:01:00,LAKE,1.27
2014-05-15 13:02:00,LAKE,1.27
2014-05-15 13:03:00,LAKE,1.778
2014-05-15 13:04:00,LAKE,2.032
2014-05-15 13:05:00,LAKE,1.27
2014-05-15 13:07:00,LAKE,0.762
2014-05-15 13:08:00,LAKE,1.016
2014-05-15 13:09:00,LAKE,1.524
2014-05-15 13:10:00,LAKE,1.778
2014-05-15 13:11:00,LAKE,1.778
2014-05-15 13:12:00,LAKE,1.27
2014-05-15 13:13:00,LAKE,1.524
2014-05-15 13:14:00,LAKE,1.27
2014-05-15 13:15:00,LAKE,1.27
2014-05-15 13:16:00,LAKE,0.762
2014-05-15 13:22:00,LAKE,1.016
2014-05-15 13:23:00,LAKE,0.762
2014-05-15 13:25:00,LAKE,0.762
2014-05-15 13:26:00,LAKE,0.762
2014-05-15 13:27:00,LAKE,0.762
2014-05-15 13:28:00,LAKE,1.016
2014-05-15 13:33:00,LAKE,1.016
2014-05-15 13:34:00,LAKE,1.016
2014-05-15 13:39:00,LAKE,0.762
2014-05-15 13:40:00,LAKE,1.27
2014-05-15 13:41:00,LAKE,1.016
2014-05-15 13:42:00,LAKE,1.27
2014-05-15 13:43:00,LAKE,1.27
2014-05-15 13:44:00,LAKE,1.016
2014-05-15 13:45:00,LAKE,0.762
2014-05-15 13:52:00,LAKE,1.016
2014-05-15 13:55:00,LAKE,1.27
2014-05-15 13:56:00,LAKE,0.762
2014-05-15 13:57:00,LAKE,1.016
2014-05-15 13:58:00,LAKE,0.762
2014-05-15 14:00:00,LAKE,49.784
2014-05-15 14:08:00,LAKE,0.762
2014-05-15 14:12:00,LAKE,0.762
2014-05-15 14:22:00,LAKE,0.762
2014-05-15 14:23:00,LAKE,0.762
2014-05-15 15:00:00,LAKE,16.256
2014-05-15 18:00:00,LAKE,4.318
2014-05-15 19:30:00,LAKE,0.762
2014-05-15 20:00:00,LAKE,4.826
2014-05-15 20:20:00,LAKE,0.762
2014-05-15 20:21:00,LAKE,0.762
2014-05-15 20:22:00,LAKE,0.762
2014-05-15 20:23:00,LAKE,1.27
2014-05-15 20:24:00,LAKE,1.524
2014-05-15 20:25:00,LAKE,1.016
2014-05-15 20:50:00,LAKE,1.016
2014-05-15 20:51:00,LAKE,1.016
2014-05-15 20:52:00,LAKE,0.762
2014-05-15 20:53:00,LAKE,0.762
2014-05-15 20:55:00,LAKE,0.762
2014-05-15 20:56:00,LAKE,0.762
2014-05-15 21:00:00,LAKE,19.812
2014-05-15 22:00:00,LAKE,4.826
2014-05-15 23:00:00,LAKE,6.35
2014-05-16 00:00:00,LAKE,2.794
2014-05-16 01:00:00,LAKE,1.524
2014-05-16 02:00:00,LAKE,1.016
2014-06-05 15:14:00,LAKE,1.016
2014-06-05 15:17:00,LAKE,0.762
2014-06-05 16:00:00,LAKE,3.81
2014-06-09 22:19:00,LAKE,0.762
2014-06-09 22:20:00,LAKE,1.016
2014-06-09 22:21:00,LAKE,1.27
2014-06-09 22:22:00,LAKE,0.762
2014-06-09 23:00:00,LAKE,5.842
2014-06-10 02:00:00,LAKE,1.27
2014-06-11 16:15:00,LAKE,0.762
2014-06-11 17:00:00,LAKE,4.064
2014-06-12 11:00:00,LAKE,1.524
2014-06-12 23:00:00,LAKE,3.302
2014-06-13 00:00:00,LAKE,2.54
2014-06-19 23:03:00,LAKE,0.762
2014-06-19 23:06:00,LAKE,0.762
2014-06-20 00:00:00,LAKE,4.064
2014-06-20 16:48:00,LAKE,0.762
2014-06-20 16:49:00,LAKE,1.016
2014-06-20 16:50:00,LAKE,0.762
2014-06-20 17:00:00,LAKE,5.588
2014-06-20 17:00:00,LAKE,1.27
2014-06-20 17:01:00,LAKE,1.524
2014-06-20 17:02:00,LAKE,1.524
2014-06-20 17:03:00,LAKE,1.27
2014-06-20 17:04:00,LAKE,1.016
2014-06-20 17:05:00,LAKE,1.524
2014-06-20 17:06:00,LAKE,1.524
2014-06-20 17:07:00,LAKE,1.524
2014-06-20 17:08:00,LAKE,1.016
2014-06-20 17:09:00,LAKE,1.016
2014-06-20 17:35:00,LAKE,1.016
2014-06-20 17:36:00,LAKE,1.27
2014-06-20 17:37:00,LAKE,1.016
2014-06-20 17:38:00,LAKE,1.016
2014-06-20 18:00:00,LAKE,24.638
2014-06-20 23:00:00,LAKE,2.54
2014-06-21 00:00:00,LAKE,1.778
2014-06-22 00:00:00,LAKE,1.016
2014-06-25 19:20:00,LAKE,1.27
2014-06-25 19:21:00,LAKE,0.762
2014-06-25 20:00:00,LAKE,5.08
2014-07-01 10:00:00,LAKE,0.762
2014-07-03 14:00:00,LAKE,1.016
2014-07-03 21:00:00,LAKE,1.016
2014-07-04 00:00:00,LAKE,1.27
2014-07-08 23:00:00,LAKE,3.556
2014-07-09 14:00:00,LAKE,0.762
2014-07-09 14:22:00,LAKE,0.762
2014-07-09 14:24:00,LAKE,1.27
2014-07-09 14:25:00,LAKE,0.762
2014-07-09 14:26:00,LAKE,0.762
2014-07-09 15:00:00,LAKE,8.128
2014-07-09 16:00:00,LAKE,1.016
2014-07-10 16:58:00,LAKE,0.762
2014-07-10 17:00:00,LAKE,4.064
2014-07-10 18:00:00,LAKE,3.556
2014-07-10 19:00:00,LAKE,2.032
2014-07-14 13:40:00,LAKE,0.762
2014-07-14 14:00:00,LAKE,2.286
2014-07-15 14:33:00,LAKE,0.762
2014-07-15 14:35:00,LAKE,1.016
2014-07-15 14:36:00,LAKE,1.27
2014-07-15 15:00:00,LAKE,3.556
2014-07-15 16:00:00,LAKE,0.762
2014-07-15 16:43:00,LAKE,1.778
2014-07-15 16:44:00,LAKE,1.016
2014-07-15 16:52:00,LAKE,1.016
2014-07-15 16:55:00,LAKE,0.762
2014-07-15 16:56:00,LAKE,0.762
2014-07-15 16:57:00,LAKE,0.762
2014-07-15 17:00:00,LAKE,9.906
2014-07-15 17:00:00,LAKE,0.762
2014-07-15 17:11:00,LAKE,0.762
2014-07-15 17:12:00,LAKE,1.524
2014-07-15 17:13:00,LAKE,0.762
2014-07-15 17:14:00,LAKE,1.27
2014-07-15 17:15:00,LAKE,0.762
2014-07-15 17:16:00,LAKE,0.762
2014-07-15 18:00:00,LAKE,13.462
2014-07-15 22:00:00,LAKE,6.35
2014-07-15 23:00:00,LAKE,0.762
2014-07-20 10:00:00,LAKE,2.286
2014-07-20 11:00:00,LAKE,0.762
2014-07-21 11:00:00,LAKE,0.762
2014-07-21 12:00:00,LAKE,1.016
2014-07-21 13:00:00,LAKE,1.778
2014-07-21 14:00:00,LAKE,2.032
2014-07-22 12:00:00,LAKE,2.54
2014-07-24 08:44:00,LAKE,1.778
2014-07-24 08:45:00,LAKE,0.762
2014-07-24 08:46:00,LAKE,1.27
2014-07-24 08:47:00,LAKE,2.54
2014-07-24 08:48:00,LAKE,1.524
2014-07-24 08:49:00,LAKE,1.524
2014-07-24 08:50:00,LAKE,2.032
2014-07-24 08:51:00,LAKE,1.27
2014-07-24 08:54:00,LAKE,1.27
2014-07-24 08:55:00,LAKE,1.27
2014-07-24 08:56:00,LAKE,1.016
2014-07-24 08:57:00,LAKE,0.762
2014-07-24 08:59:00,LAKE,1.27
2014-07-24 09:00:00,LAKE,20.066
2014-07-24 09:00:00,LAKE,0.762
2014-07-24 09:01:00,LAKE,0.762
2014-07-24 09:03:00,LAKE,0.762
2014-07-24 09:04:00,LAKE,1.016
2014-07-24 10:00:00,LAKE,5.588
2014-07-24 19:17:00,LAKE,1.524
2014-07-24 19:18:00,LAKE,1.016
2014-07-24 19:25:00,LAKE,0.762
2014-07-24 20:00:00,LAKE,9.652
2014-07-24 20:35:00,LAKE,0.762
2014-07-24 21:00:00,LAKE,8.89
2014-07-27 09:16:00,LAKE,1.016
2014-07-27 09:17:00,LAKE,1.27
2014-07-27 09:18:00,LAKE,0.762
2014-07-27 09:19:00,LAKE,1.016
2014-07-27 10:00:00,LAKE,8.382
2014-07-27 11:00:00,LAKE,2.286
2014-07-30 12:59:00,LAKE,0.762
2014-07-30 13:00:00,LAKE,1.524
2014-07-30 13:00:00,LAKE,1.016
2014-07-30 14:00:00,LAKE,4.318
2014-07-30 23:00:00,LAKE,3.81
2014-08-01 13:27:00,LAKE,0.762
2014-08-01 13:28:00,LAKE,1.016
2014-08-01 13:29:00,LAKE,0.762
2014-08-01 14:00:00,LAKE,7.874
2014-08-01 15:00:00,LAKE,4.826
2014-08-01 16:00:00,LAKE,1.016
2014-08-02 12:47:00,LAKE,0.762
2014-08-02 12:48:00,LAKE,0.762
2014-08-02 12:49:00,LAKE,1.016
2014-08-02 12:50:00,LAKE,0.762
2014-08-02 12:51:00,LAKE,1.016
2014-08-02 12:52:00,LAKE,0.762
2014-08-02 12:57:00,LAKE,0.762
2014-08-02 12:58:00,LAKE,0.762
2014-08-02 13:00:00,LAKE,9.144
2014-08-02 13:03:00,LAKE,0.762
2014-08-02 13:08:00,LAKE,0.762
2014-08-02 13:13:00,LAKE,0.762
2014-08-02 13:14:00,LAKE,0.762
2014-08-02 13:16:00,LAKE,0.762
2014-08-02 13:19:00,LAKE,0.762
2014-08-02 13:23:00,LAKE,0.762
2014-08-02 13:24:00,LAKE,0.762
2014-08-02 13:25:00,LAKE,0.762
2014-08-02 13:26:00,LAKE,1.016
2014-08-02 13:27:00,LAKE,1.016
2014-08-02 13:28:00,LAKE,0.762
2014-08-02 13:29:00,LAKE,1.016
2014-08-02 13:30:00,LAKE,1.016
2014-08-02 13:31:00,LAKE,0.762
