ob,precip
2010-08-18 21:07:00,0.254
2010-08-18 21:08:00,0.508
2010-08-18 21:09:00,0.508
2010-08-18 21:10:00,1.016
2010-08-18 21:11:00,1.27
2010-08-18 21:12:00,1.27
2010-08-18 21:13:00,1.27
2010-08-18 21:14:00,1.5239999999999998
2010-08-18 21:15:00,1.778
2010-08-18 21:16:00,1.5239999999999998
2010-08-18 21:17:00,1.27
2010-08-18 21:18:00,2.2859999999999996
2010-08-18 21:19:00,1.27
2010-08-18 21:20:00,1.016
2010-08-18 21:21:00,1.016
2010-08-18 21:22:00,1.27
2010-08-18 21:23:00,1.27
2010-08-18 21:24:00,1.27
2010-08-18 21:25:00,1.27
2010-08-18 21:26:00,1.5239999999999998
2010-08-18 21:27:00,1.016
2010-08-18 21:28:00,1.016
2010-08-18 21:29:00,1.016
2010-08-18 21:30:00,0.7619999999999999
2010-08-18 21:31:00,0.508
2010-08-18 21:32:00,0.508
2010-08-18 21:33:00,0.508
2010-08-18 21:34:00,0.508
2010-08-18 21:35:00,0.508
2010-08-18 21:36:00,0.508
2010-08-18 21:37:00,0.254
2010-08-18 21:38:00,0.508
2010-08-18 21:39:00,0.508
2010-08-18 21:40:00,0.508
2010-08-18 21:41:00,0.254
2010-08-18 21:42:00,0.508
2010-08-18 21:43:00,0.254
2010-08-18 21:44:00,0.254
2010-08-18 21:45:00,0.254
2010-08-23 12:36:00,0.254
2010-08-23 12:37:00,0.254
2010-08-23 12:38:00,1.016
2010-08-23 12:39:00,1.5239999999999998
2010-08-23 12:40:00,1.016
2010-08-23 12:41:00,1.016
2010-08-23 12:42:00,0.508
2010-08-23 12:43:00,0.508
2010-08-23 12:44:00,1.27
2010-08-23 12:45:00,1.016
2010-08-23 12:46:00,0.7619999999999999
2010-08-23 12:47:00,0.254
2010-08-23 12:48:00,1.016
2010-08-23 12:49:00,0.508
2010-08-23 12:50:00,0.7619999999999999
2010-08-23 12:51:00,0.508
2010-08-23 12:52:00,0.7619999999999999
2010-08-23 12:53:00,0.7619999999999999
2010-08-23 12:54:00,0.508
2010-08-23 12:55:00,0.508
2010-08-23 12:56:00,1.016
2010-08-23 12:57:00,0.7619999999999999
2010-08-23 12:58:00,1.016
2010-08-23 12:59:00,0.7619999999999999
2010-08-23 13:00:00,0.7619999999999999
2010-08-23 13:01:00,0.7619999999999999
2010-08-23 13:02:00,1.5239999999999998
2010-08-23 13:03:00,1.27
2010-08-23 13:04:00,1.016
2010-08-23 13:05:00,1.27
2010-08-23 13:06:00,1.016
2010-08-23 13:07:00,1.5239999999999998
2010-08-23 13:08:00,1.5239999999999998
2010-08-23 13:09:00,1.778
2010-08-23 13:10:00,1.778
2010-08-23 13:11:00,1.27
2010-08-23 13:12:00,0.508
2010-08-23 13:13:00,0.508
2010-08-23 13:14:00,0.254
