Date/Time (EST),1m Daily Precipitation (in)
03/21/2001,1.26
03/29/2001,1.61
06/16/2001,3.48
06/22/2001,1.22
07/04/2001,3.5
07/09/2001,1.13
07/27/2001,1.88
10/14/2001,1.23
