ob,station,precip
2007-01-01 00:00:00,LAKE,0.02
2007-01-01 02:51:00,LAKE,0.01
2007-01-01 03:00:00,LAKE,0.01
2007-01-01 03:06:00,LAKE,0.01
2007-01-01 03:14:00,LAKE,0.01
2007-01-01 03:25:00,LAKE,0.01
2007-01-01 04:00:00,LAKE,0.03
2007-01-01 04:22:00,LAKE,0.01
2007-01-01 04:30:00,LAKE,0.01
2007-01-01 04:47:00,LAKE,0.01
2007-01-01 05:00:00,LAKE,0.03
2007-01-01 05:15:00,LAKE,0.01
2007-01-01 05:43:00,LAKE,0.01
2007-01-01 05:48:00,LAKE,0.01
2007-01-01 05:52:00,LAKE,0.01
2007-01-01 06:00:00,LAKE,0.04
2007-01-01 06:28:00,LAKE,0.01
2007-01-01 07:00:00,LAKE,0.01
2007-01-01 12:02:00,LAKE,0.01
2007-01-01 13:00:00,LAKE,0.01
2007-01-01 14:24:00,LAKE,0.01
2007-01-01 15:00:00,LAKE,0.01
2007-01-01 15:15:00,LAKE,0.01
2007-01-01 15:31:00,LAKE,0.01
2007-01-01 15:33:00,LAKE,0.01
2007-01-01 15:38:00,LAKE,0.01
2007-01-01 15:42:00,LAKE,0.01
2007-01-01 15:45:00,LAKE,0.01
2007-01-01 16:00:00,LAKE,0.06
2007-01-01 16:07:00,LAKE,0.01
2007-01-01 17:00:00,LAKE,0.01
2007-01-05 08:58:00,LAKE,0.01
2007-01-05 09:00:00,LAKE,0.01
2007-01-05 22:56:00,LAKE,0.01
2007-01-05 23:00:00,LAKE,0.01
2007-01-05 23:01:00,LAKE,0.01
2007-01-05 23:03:00,LAKE,0.01
2007-01-05 23:04:00,LAKE,0.01
2007-01-05 23:05:00,LAKE,0.01
2007-01-05 23:06:00,LAKE,0.01
2007-01-05 23:07:00,LAKE,0.01
2007-01-05 23:08:00,LAKE,0.01
2007-01-05 23:09:00,LAKE,0.01
2007-01-05 23:10:00,LAKE,0.01
2007-01-05 23:11:00,LAKE,0.01
2007-01-05 23:12:00,LAKE,0.01
2007-01-05 23:13:00,LAKE,0.01
2007-01-05 23:16:00,LAKE,0.01
2007-01-05 23:21:00,LAKE,0.01
2007-01-05 23:23:00,LAKE,0.01
2007-01-05 23:26:00,LAKE,0.01
2007-01-05 23:30:00,LAKE,0.01
2007-01-05 23:33:00,LAKE,0.01
2007-01-05 23:44:00,LAKE,0.01
2007-01-05 23:47:00,LAKE,0.01
2007-01-06 00:00:00,LAKE,0.2
2007-01-06 00:01:00,LAKE,0.02
2007-01-06 00:02:00,LAKE,0.04
2007-01-06 00:03:00,LAKE,0.03
2007-01-06 00:04:00,LAKE,0.02
2007-01-06 00:05:00,LAKE,0.02
2007-01-06 00:07:00,LAKE,0.01
2007-01-06 00:08:00,LAKE,0.03
2007-01-06 00:09:00,LAKE,0.03
2007-01-06 00:10:00,LAKE,0.03
2007-01-06 00:11:00,LAKE,0.01
2007-01-06 00:18:00,LAKE,0.01
2007-01-06 00:19:00,LAKE,0.02
2007-01-06 00:20:00,LAKE,0.01
2007-01-06 01:00:00,LAKE,0.28
2007-01-06 01:26:00,LAKE,0.01
2007-01-06 01:27:00,LAKE,0.03
2007-01-06 01:28:00,LAKE,0.02
2007-01-06 01:29:00,LAKE,0.02
2007-01-06 01:30:00,LAKE,0.01
2007-01-06 01:31:00,LAKE,0.01
2007-01-06 01:34:00,LAKE,0.02
2007-01-06 01:36:00,LAKE,0.01
2007-01-06 01:39:00,LAKE,0.01
2007-01-06 01:40:00,LAKE,0.01
2007-01-06 01:41:00,LAKE,0.01
2007-01-06 01:47:00,LAKE,0.01
2007-01-06 01:54:00,LAKE,0.01
2007-01-06 02:00:00,LAKE,0.18
2007-01-06 02:00:00,LAKE,0.01
2007-01-06 02:06:00,LAKE,0.01
2007-01-06 02:23:00,LAKE,0.01
2007-01-06 03:00:00,LAKE,0.03
2007-01-07 14:24:00,LAKE,0.01
2007-01-07 14:29:00,LAKE,0.01
2007-01-07 14:32:00,LAKE,0.01
2007-01-07 14:34:00,LAKE,0.01
2007-01-07 14:42:00,LAKE,0.01
2007-01-07 14:44:00,LAKE,0.01
2007-01-07 14:53:00,LAKE,0.01
2007-01-07 15:00:00,LAKE,0.07
2007-01-07 16:23:00,LAKE,0.01
2007-01-07 16:24:00,LAKE,0.01
2007-01-07 16:25:00,LAKE,0.02
2007-01-07 16:26:00,LAKE,0.01
2007-01-07 16:32:00,LAKE,0.01
2007-01-07 17:00:00,LAKE,0.06
2007-01-07 17:03:00,LAKE,0.01
2007-01-07 17:08:00,LAKE,0.01
2007-01-07 17:21:00,LAKE,0.01
2007-01-07 17:27:00,LAKE,0.01
2007-01-07 17:32:00,LAKE,0.01
2007-01-07 17:37:00,LAKE,0.01
2007-01-07 17:44:00,LAKE,0.01
2007-01-07 17:56:00,LAKE,0.01
2007-01-07 18:00:00,LAKE,0.08
2007-01-07 18:54:00,LAKE,0.01
2007-01-07 19:00:00,LAKE,0.01
2007-01-08 06:05:00,LAKE,0.01
2007-01-08 06:16:00,LAKE,0.01
2007-01-08 06:19:00,LAKE,0.01
2007-01-08 06:22:00,LAKE,0.01
2007-01-08 06:25:00,LAKE,0.01
2007-01-08 06:27:00,LAKE,0.01
2007-01-08 06:30:00,LAKE,0.01
2007-01-08 06:43:00,LAKE,0.01
2007-01-08 06:53:00,LAKE,0.01
2007-01-08 06:55:00,LAKE,0.01
2007-01-08 06:56:00,LAKE,0.01
2007-01-08 06:58:00,LAKE,0.01
2007-01-08 06:59:00,LAKE,0.01
2007-01-08 07:00:00,LAKE,0.13
2007-01-08 07:00:00,LAKE,0.01
2007-01-08 07:02:00,LAKE,0.01
2007-01-08 07:04:00,LAKE,0.01
2007-01-08 07:08:00,LAKE,0.01
2007-01-08 07:13:00,LAKE,0.01
2007-01-08 07:16:00,LAKE,0.01
2007-01-08 07:20:00,LAKE,0.01
2007-01-08 07:23:00,LAKE,0.01
2007-01-08 07:27:00,LAKE,0.01
2007-01-08 07:30:00,LAKE,0.01
2007-01-08 07:33:00,LAKE,0.01
2007-01-08 07:35:00,LAKE,0.01
2007-01-08 07:40:00,LAKE,0.01
2007-01-08 08:00:00,LAKE,0.13
2007-01-08 08:23:00,LAKE,0.01
2007-01-08 09:00:00,LAKE,0.01
2007-01-18 13:09:00,LAKE,0.01
2007-01-18 13:11:00,LAKE,0.01
2007-01-18 13:18:00,LAKE,0.01
2007-01-18 13:22:00,LAKE,0.01
2007-01-18 13:29:00,LAKE,0.01
2007-01-18 13:38:00,LAKE,0.01
2007-01-18 13:46:00,LAKE,0.01
2007-01-18 13:52:00,LAKE,0.01
2007-01-18 14:00:00,LAKE,0.08
2007-01-18 14:02:00,LAKE,0.01
2007-01-18 14:09:00,LAKE,0.01
2007-01-18 14:23:00,LAKE,0.01
2007-01-18 14:32:00,LAKE,0.01
2007-01-18 14:41:00,LAKE,0.01
2007-01-18 14:47:00,LAKE,0.01
2007-01-18 14:55:00,LAKE,0.01
2007-01-18 15:00:00,LAKE,0.07
2007-01-18 15:02:00,LAKE,0.01
2007-01-18 15:10:00,LAKE,0.01
2007-01-18 15:19:00,LAKE,0.01
2007-01-18 15:28:00,LAKE,0.01
2007-01-18 15:40:00,LAKE,0.01
2007-01-18 15:54:00,LAKE,0.01
2007-01-18 16:00:00,LAKE,0.06
2007-01-18 16:09:00,LAKE,0.01
2007-01-18 16:23:00,LAKE,0.01
2007-01-18 16:37:00,LAKE,0.01
2007-01-18 16:52:00,LAKE,0.01
2007-01-18 17:00:00,LAKE,0.04
2007-01-18 17:08:00,LAKE,0.01
2007-01-18 17:25:00,LAKE,0.01
2007-01-18 17:50:00,LAKE,0.01
2007-01-18 18:00:00,LAKE,0.03
2007-01-18 18:08:00,LAKE,0.01
2007-01-18 18:30:00,LAKE,0.01
2007-01-18 19:00:00,LAKE,0.02
2007-01-18 19:08:00,LAKE,0.01
2007-01-18 20:00:00,LAKE,0.01
2007-01-18 20:10:00,LAKE,0.01
2007-01-18 21:00:00,LAKE,0.01
2007-01-18 21:56:00,LAKE,0.01
2007-01-18 22:00:00,LAKE,0.01
2007-01-18 22:28:00,LAKE,0.01
2007-01-18 23:00:00,LAKE,0.01
2007-01-21 14:41:00,LAKE,0.01
2007-01-21 15:00:00,LAKE,0.01
2007-01-21 15:24:00,LAKE,0.01
2007-01-21 15:45:00,LAKE,0.01
2007-01-21 16:00:00,LAKE,0.02
2007-01-21 16:32:00,LAKE,0.01
2007-01-21 16:47:00,LAKE,0.01
2007-01-21 17:00:00,LAKE,0.02
2007-01-21 17:00:00,LAKE,0.01
2007-01-21 17:18:00,LAKE,0.01
2007-01-21 17:38:00,LAKE,0.01
2007-01-21 17:55:00,LAKE,0.01
2007-01-21 18:00:00,LAKE,0.04
2007-01-21 18:14:00,LAKE,0.01
2007-01-21 18:28:00,LAKE,0.01
2007-01-21 19:00:00,LAKE,0.02
2007-01-21 19:03:00,LAKE,0.01
2007-01-21 19:21:00,LAKE,0.01
2007-01-21 19:32:00,LAKE,0.01
2007-01-21 19:49:00,LAKE,0.01
2007-01-21 20:00:00,LAKE,0.04
2007-01-21 20:12:00,LAKE,0.01
2007-01-21 20:42:00,LAKE,0.01
2007-01-21 20:47:00,LAKE,0.01
2007-01-21 20:53:00,LAKE,0.01
2007-01-21 20:58:00,LAKE,0.01
2007-01-21 21:00:00,LAKE,0.05
2007-01-21 21:03:00,LAKE,0.01
2007-01-21 21:09:00,LAKE,0.01
2007-01-21 21:13:00,LAKE,0.01
2007-01-21 21:18:00,LAKE,0.01
2007-01-21 21:24:00,LAKE,0.01
2007-01-21 21:32:00,LAKE,0.01
2007-01-21 21:40:00,LAKE,0.01
2007-01-21 21:44:00,LAKE,0.01
2007-01-21 21:51:00,LAKE,0.01
2007-01-21 21:56:00,LAKE,0.01
2007-01-21 22:00:00,LAKE,0.1
2007-01-21 22:00:00,LAKE,0.01
2007-01-21 22:05:00,LAKE,0.01
2007-01-21 22:11:00,LAKE,0.01
2007-01-21 22:16:00,LAKE,0.01
2007-01-21 22:20:00,LAKE,0.01
2007-01-21 22:26:00,LAKE,0.01
2007-01-21 22:32:00,LAKE,0.01
2007-01-21 22:37:00,LAKE,0.01
2007-01-21 22:42:00,LAKE,0.01
2007-01-21 22:47:00,LAKE,0.01
2007-01-21 22:50:00,LAKE,0.01
2007-01-21 22:56:00,LAKE,0.01
2007-01-21 23:00:00,LAKE,0.12
2007-01-21 23:00:00,LAKE,0.01
2007-01-21 23:03:00,LAKE,0.01
2007-01-21 23:07:00,LAKE,0.01
2007-01-21 23:09:00,LAKE,0.01
2007-01-21 23:15:00,LAKE,0.01
2007-01-21 23:17:00,LAKE,0.01
2007-01-21 23:20:00,LAKE,0.01
2007-01-21 23:23:00,LAKE,0.01
2007-01-21 23:27:00,LAKE,0.01
2007-01-21 23:29:00,LAKE,0.01
2007-01-21 23:33:00,LAKE,0.01
2007-01-21 23:44:00,LAKE,0.01
2007-01-21 23:50:00,LAKE,0.01
2007-01-21 23:57:00,LAKE,0.01
2007-01-22 00:00:00,LAKE,0.14
2007-01-22 00:07:00,LAKE,0.01
2007-01-22 00:16:00,LAKE,0.01
2007-01-22 00:26:00,LAKE,0.01
2007-01-22 00:34:00,LAKE,0.01
2007-01-22 00:43:00,LAKE,0.01
2007-01-22 00:54:00,LAKE,0.01
2007-01-22 01:00:00,LAKE,0.06
2007-01-22 01:09:00,LAKE,0.01
2007-01-22 01:39:00,LAKE,0.01
2007-01-22 01:56:00,LAKE,0.01
2007-01-22 02:00:00,LAKE,0.03
2007-01-22 02:40:00,LAKE,0.01
2007-01-22 02:58:00,LAKE,0.01
2007-01-22 03:00:00,LAKE,0.02
2007-01-22 03:13:00,LAKE,0.01
2007-01-22 04:00:00,LAKE,0.01
2007-01-22 04:07:00,LAKE,0.01
2007-01-22 05:00:00,LAKE,0.01
2007-02-01 12:56:00,LAKE,0.01
2007-02-01 12:58:00,LAKE,0.01
2007-02-01 13:00:00,LAKE,0.02
2007-02-01 13:01:00,LAKE,0.01
2007-02-01 13:03:00,LAKE,0.01
2007-02-01 13:06:00,LAKE,0.01
2007-02-01 13:08:00,LAKE,0.01
2007-02-01 13:12:00,LAKE,0.01
2007-02-01 13:15:00,LAKE,0.01
2007-02-01 13:19:00,LAKE,0.01
2007-02-01 13:24:00,LAKE,0.01
2007-02-01 13:27:00,LAKE,0.01
2007-02-01 13:30:00,LAKE,0.01
2007-02-01 13:32:00,LAKE,0.01
2007-02-01 13:35:00,LAKE,0.01
2007-02-01 13:38:00,LAKE,0.01
2007-02-01 13:41:00,LAKE,0.01
2007-02-01 13:44:00,LAKE,0.01
2007-02-01 13:48:00,LAKE,0.01
2007-02-01 13:50:00,LAKE,0.01
2007-02-01 13:53:00,LAKE,0.01
2007-02-01 13:57:00,LAKE,0.01
2007-02-01 14:00:00,LAKE,0.19
2007-02-01 14:02:00,LAKE,0.01
2007-02-01 14:06:00,LAKE,0.01
2007-02-01 14:11:00,LAKE,0.01
2007-02-01 14:15:00,LAKE,0.01
2007-02-01 14:22:00,LAKE,0.01
2007-02-01 14:30:00,LAKE,0.01
2007-02-01 14:39:00,LAKE,0.01
2007-02-01 14:46:00,LAKE,0.01
2007-02-01 14:58:00,LAKE,0.01
2007-02-01 15:00:00,LAKE,0.09
2007-02-01 15:10:00,LAKE,0.01
2007-02-01 15:18:00,LAKE,0.01
2007-02-01 15:27:00,LAKE,0.01
2007-02-01 15:37:00,LAKE,0.01
2007-02-01 15:48:00,LAKE,0.01
2007-02-01 16:00:00,LAKE,0.05
2007-02-01 16:00:00,LAKE,0.01
2007-02-01 16:11:00,LAKE,0.01
2007-02-01 16:28:00,LAKE,0.01
2007-02-01 16:46:00,LAKE,0.01
2007-02-01 17:00:00,LAKE,0.04
2007-02-01 17:06:00,LAKE,0.01
2007-02-01 17:27:00,LAKE,0.01
2007-02-01 17:48:00,LAKE,0.01
2007-02-01 18:00:00,LAKE,0.03
2007-02-01 18:13:00,LAKE,0.01
2007-02-01 18:40:00,LAKE,0.01
2007-02-01 19:00:00,LAKE,0.02
2007-02-01 19:08:00,LAKE,0.01
2007-02-01 19:45:00,LAKE,0.01
2007-02-01 20:00:00,LAKE,0.02
2007-02-01 20:16:00,LAKE,0.01
2007-02-01 21:00:00,LAKE,0.01
2007-02-01 21:14:00,LAKE,0.01
2007-02-01 21:37:00,LAKE,0.01
2007-02-01 22:00:00,LAKE,0.02
2007-02-02 01:51:00,LAKE,0.01
2007-02-02 02:00:00,LAKE,0.01
2007-02-02 05:45:00,LAKE,0.01
2007-02-02 06:00:00,LAKE,0.01
2007-02-02 07:57:00,LAKE,0.01
2007-02-02 08:00:00,LAKE,0.01
2007-02-13 13:31:00,LAKE,0.01
2007-02-13 13:36:00,LAKE,0.01
2007-02-13 13:45:00,LAKE,0.01
2007-02-13 13:52:00,LAKE,0.01
2007-02-13 14:00:00,LAKE,0.04
2007-02-13 14:13:00,LAKE,0.01
2007-02-13 15:00:00,LAKE,0.01
2007-02-13 19:21:00,LAKE,0.01
2007-02-13 20:00:00,LAKE,0.01
2007-02-13 20:04:00,LAKE,0.01
2007-02-13 20:13:00,LAKE,0.01
2007-02-13 20:27:00,LAKE,0.01
2007-02-13 20:43:00,LAKE,0.01
2007-02-13 20:48:00,LAKE,0.01
2007-02-13 20:52:00,LAKE,0.01
2007-02-13 21:00:00,LAKE,0.06
2007-02-13 21:02:00,LAKE,0.01
2007-02-13 21:03:00,LAKE,0.01
2007-02-13 21:04:00,LAKE,0.01
2007-02-13 21:05:00,LAKE,0.01
2007-02-13 21:07:00,LAKE,0.01
2007-02-13 21:10:00,LAKE,0.01
2007-02-13 21:11:00,LAKE,0.02
2007-02-13 21:13:00,LAKE,0.01
2007-02-13 21:14:00,LAKE,0.01
2007-02-13 21:16:00,LAKE,0.01
2007-02-13 21:19:00,LAKE,0.01
2007-02-13 21:40:00,LAKE,0.01
2007-02-13 22:00:00,LAKE,0.13
2007-02-13 23:34:00,LAKE,0.01
2007-02-13 23:36:00,LAKE,0.01
2007-02-13 23:40:00,LAKE,0.01
2007-02-13 23:51:00,LAKE,0.01
2007-02-14 00:00:00,LAKE,0.04
2007-02-14 00:01:00,LAKE,0.01
2007-02-14 00:02:00,LAKE,0.01
2007-02-14 00:09:00,LAKE,0.01
2007-02-14 01:00:00,LAKE,0.03
2007-02-14 07:14:00,LAKE,0.01
2007-02-14 07:29:00,LAKE,0.01
2007-02-14 07:37:00,LAKE,0.01
2007-02-14 07:54:00,LAKE,0.01
2007-02-14 08:00:00,LAKE,0.04
2007-02-14 10:15:00,LAKE,0.01
2007-02-14 11:00:00,LAKE,0.01
2007-02-25 12:20:00,LAKE,0.01
2007-02-25 12:33:00,LAKE,0.01
2007-02-25 12:39:00,LAKE,0.01
2007-02-25 12:44:00,LAKE,0.01
2007-02-25 12:47:00,LAKE,0.01
2007-02-25 12:50:00,LAKE,0.01
2007-02-25 12:51:00,LAKE,0.01
2007-02-25 12:53:00,LAKE,0.01
2007-02-25 12:55:00,LAKE,0.01
2007-02-25 12:56:00,LAKE,0.01
2007-02-25 13:00:00,LAKE,0.1
2007-02-25 13:00:00,LAKE,0.01
2007-02-25 13:12:00,LAKE,0.01
