ob,station,precip
2006-01-02 09:53:00,LAKE,0.01
2006-01-02 10:00:00,LAKE,0.01
2006-01-02 10:24:00,LAKE,0.01
2006-01-02 10:30:00,LAKE,0.01
2006-01-02 11:00:00,LAKE,0.02
2006-01-02 13:45:00,LAKE,0.01
2006-01-02 14:00:00,LAKE,0.01
2006-01-02 14:06:00,LAKE,0.01
2006-01-02 14:15:00,LAKE,0.01
2006-01-02 14:19:00,LAKE,0.01
2006-01-02 14:30:00,LAKE,0.02
2006-01-02 14:38:00,LAKE,0.01
2006-01-02 14:45:00,LAKE,0.01
2006-01-02 14:48:00,LAKE,0.01
2006-01-02 14:54:00,LAKE,0.01
2006-01-02 15:00:00,LAKE,0.09
2006-01-02 15:04:00,LAKE,0.01
2006-01-02 15:14:00,LAKE,0.01
2006-01-02 15:15:00,LAKE,0.02
2006-01-02 15:24:00,LAKE,0.01
2006-01-02 15:30:00,LAKE,0.01
2006-01-02 15:36:00,LAKE,0.01
2006-01-02 15:43:00,LAKE,0.01
2006-01-02 15:45:00,LAKE,0.02
2006-01-02 15:52:00,LAKE,0.01
2006-01-02 16:00:00,LAKE,0.11
2006-01-02 16:09:00,LAKE,0.01
2006-01-02 16:15:00,LAKE,0.01
2006-01-02 16:20:00,LAKE,0.01
2006-01-02 16:30:00,LAKE,0.01
2006-01-02 16:35:00,LAKE,0.01
2006-01-02 16:41:00,LAKE,0.01
2006-01-02 16:44:00,LAKE,0.01
2006-01-02 16:45:00,LAKE,0.03
2006-01-02 16:54:00,LAKE,0.01
2006-01-02 17:00:00,LAKE,0.11
2006-01-02 17:17:00,LAKE,0.01
2006-01-02 17:30:00,LAKE,0.01
2006-01-02 18:00:00,LAKE,0.02
2006-01-02 18:01:00,LAKE,0.01
2006-01-02 18:15:00,LAKE,0.01
2006-01-02 19:00:00,LAKE,0.02
2006-01-02 23:21:00,LAKE,0.01
2006-01-02 23:30:00,LAKE,0.01
2006-01-02 23:59:00,LAKE,0.01
2006-01-03 00:00:00,LAKE,0.03
2006-01-03 00:12:00,LAKE,0.01
2006-01-03 00:14:00,LAKE,0.01
2006-01-03 00:15:00,LAKE,0.03
2006-01-03 00:16:00,LAKE,0.02
2006-01-03 00:18:00,LAKE,0.02
2006-01-03 00:21:00,LAKE,0.01
