ob,precip
2008-08-27 08:53:00,0.254
2008-08-27 08:54:00,0.508
2008-08-27 08:55:00,0.254
2008-08-27 08:56:00,0.254
2008-08-27 08:57:00,0.508
2008-08-27 08:58:00,0.508
2008-08-27 08:59:00,0.508
2008-08-27 09:00:00,11.43
2008-08-27 09:00:00,0.7619999999999999
2008-08-27 09:01:00,0.508
2008-08-27 09:02:00,0.508
2008-08-27 09:03:00,0.254
2008-08-27 09:04:00,0.7619999999999999
2008-08-27 09:05:00,1.016
2008-08-27 09:06:00,1.016
2008-08-27 09:07:00,1.016
2008-08-27 09:08:00,1.27
2008-08-27 09:09:00,1.27
2008-08-27 09:10:00,1.016
2008-08-27 09:11:00,0.508
2008-08-27 09:12:00,0.508
2008-08-27 09:13:00,0.7619999999999999
2008-08-27 09:14:00,1.016
2008-08-27 09:15:00,0.508
2008-08-27 09:16:00,0.508
2008-08-27 09:17:00,0.254
2008-08-27 09:18:00,0.254
2008-08-27 09:19:00,0.254
2008-08-27 09:20:00,0.254
2008-08-27 09:21:00,0.254
2008-08-27 09:22:00,0.7619999999999999
2008-08-27 09:23:00,0.7619999999999999
2008-08-27 09:24:00,0.7619999999999999
2008-08-27 09:25:00,0.7619999999999999
2008-08-27 09:26:00,0.508
2008-08-27 09:27:00,0.254
2008-08-27 09:28:00,0.254
2008-09-05 23:49:00,0.254
2008-09-05 23:50:00,0.254
2008-09-05 23:51:00,0.254
2008-09-05 23:52:00,0.508
2008-09-05 23:53:00,0.254
2008-09-05 23:54:00,0.254
2008-09-05 23:55:00,0.254
2008-09-05 23:56:00,0.254
2008-09-05 23:57:00,0.254
2008-09-05 23:58:00,0.7619999999999999
2008-09-05 23:59:00,0.254
2008-09-06 00:00:00,7.112
2008-09-06 00:00:00,0.508
2008-09-06 00:01:00,0.508
2008-09-06 00:02:00,0.254
2008-09-06 00:03:00,0.254
2008-09-06 00:04:00,0.254
2008-09-06 00:05:00,0.254
2008-09-06 00:06:00,0.254
2008-09-06 00:07:00,0.254
2008-09-06 00:08:00,0.508
2008-09-06 00:09:00,1.016
2008-09-06 00:10:00,0.7619999999999999
2008-09-06 00:11:00,0.7619999999999999
2008-09-06 00:12:00,0.254
2008-09-06 00:13:00,0.7619999999999999
2008-09-06 00:14:00,0.7619999999999999
2008-09-06 00:15:00,0.7619999999999999
2008-09-06 00:16:00,0.7619999999999999
2008-09-06 00:17:00,0.7619999999999999
2008-09-06 00:18:00,1.016
2008-09-06 00:19:00,0.7619999999999999
2008-09-06 00:20:00,1.016
2008-09-06 00:21:00,1.016
2008-09-06 00:22:00,1.27
2008-09-06 00:23:00,1.27
2008-09-06 00:24:00,1.016
2008-09-06 00:25:00,1.016
2008-09-06 00:26:00,1.016
2008-09-06 00:27:00,0.508
2008-09-06 00:28:00,0.508
2008-09-06 00:29:00,0.7619999999999999
2008-09-06 00:30:00,0.508
2008-09-06 00:31:00,0.508
2008-09-06 00:32:00,0.508
2008-09-06 00:33:00,0.508
